,months_since_joined,referred_friends,transaction_count,transaction_value,clv,total_reward_points,earned_reward_points,churned
0,7,2,18.0,82.75996450928717,639.977154012039,348.9997831187448,72.0,False
1,26,2,0.0,0.0,0.0,304.28677773731613,0.0,False
2,1,1,29.0,74.8066538769277,354.58854889795685,86.99996291127249,87.0,False
3,4,1,34.0,83.30900324612081,507.7835391730838,519.2138275400425,136.0,False
4,2,1,26.0,66.69044595187161,344.21559210324295,158.33582122957816,78.0,False
5,5,1,19.0,48.8318646319289,322.73552965108905,167.37081219668542,38.0,False
6,26,0,42.0,112.594059832058,2510.194484979725,3279.836413253792,210.0,False
7,12,0,18.0,53.878719370663575,597.0679360260483,433.52463171506514,36.0,False
8,1,1,27.0,78.43999979573955,371.81085186468766,80.9999839052197,81.0,False
9,39,0,27.0,101.30728300841729,2975.391962767873,2730.300164737014,135.0,False
10,33,2,42.0,137.9034800937161,3689.563966925816,5078.498890453283,252.0,False
11,5,2,16.0,49.6774787042635,328.32429238977164,171.64595912042438,32.0,False
12,6,0,19.0,63.61625878548242,455.1745813869271,292.9056793176076,57.0,False
13,7,2,20.0,64.74029746739298,500.6322993097165,309.99964031885366,60.0,False
14,22,2,7.0,54.706580872534644,1048.8097846677683,716.9968609910723,14.0,False
15,90,2,62.0,942.7867229355201,31400.38999133683,119843.99667805404,2914.0,False
16,6,1,15.0,48.353490677889496,345.96941565082534,237.6659649310387,30.0,False
17,52,1,51.0,268.5503221247189,8634.138849612751,16488.999701010092,663.0,False
18,40,0,60.0,60.0,1782.365572092302,3541.419666117988,180.0,False
19,3,0,25.0,68.95743723541887,387.04550285605796,224.99999950692657,75.0,False
20,34,2,53.0,312.27240187390663,8514.66524923367,13289.713177289072,795.0,False
21,6,1,17.0,56.17840809829353,401.95673051682434,294.9975457190451,34.0,False
22,17,2,43.0,251.45961652520032,3779.261645751665,4699.999937221803,516.0,False
23,31,1,51.0,297.2569299751505,7620.049872733251,12575.990318399463,714.0,False
24,4,0,18.0,46.78344922401069,285.153638815125,134.07888874900377,36.0,False
25,15,0,26.0,94.86280618532535,1271.1758029368266,1450.9689751746564,104.0,False
26,2,1,18.0,49.468497118003825,255.3263482181497,71.93772687055734,36.0,False
27,2,0,25.0,68.80195685961293,355.1139294432745,146.9943243065881,75.0,False
28,3,1,28.0,84.43424636698391,473.91400628496797,258.92720328706224,112.0,False
29,47,0,30.0,142.179559882725,4468.377769374069,5311.999905081657,210.0,False
30,39,2,26.0,248.45398502916797,7297.086332006496,7068.996468414704,312.0,False
31,5,0,19.0,57.8162099294603,382.1141231171098,195.99999935018903,38.0,False
32,28,4,24.0,104.01940898994944,2467.135764170733,1494.994399958903,120.0,False
33,52,1,68.0,533.8945207147995,17165.197890763302,43282.997740319784,1768.0,False
34,19,3,30.0,82.79398531832327,1381.8868200075387,1345.9998176498495,120.0,False
35,12,0,31.0,119.83225480988558,1327.9453907667125,1375.9997178469453,155.0,False
36,19,0,21.0,115.51509273881793,1928.0239205056519,1239.999755046314,105.0,False
37,4,0,18.0,44.16409644755894,269.18820685286653,151.84182813386636,36.0,False
38,14,1,25.0,83.96437690282741,1058.560510251284,1344.999989741122,100.0,False
39,42,0,22.0,163.17101546626998,4944.708779793748,4062.992281314963,176.0,False
40,2,0,19.0,57.93191818603369,299.00938935800576,71.99997967847948,38.0,False
41,33,2,44.0,259.9226964826436,6954.1494853998,10050.788431456442,528.0,False
42,2,0,22.0,66.44273055837522,342.9370356379439,131.97819784159373,66.0,False
43,33,1,22.0,139.70468128227796,3737.7545346909337,3505.267722590223,132.0,False
44,62,0,69.0,622.7548122317289,20481.390005385307,47059.91430824411,2139.0,False
45,1,2,27.0,72.77905525877061,344.9775956672101,80.99976564907583,81.0,False
46,72,1,63.0,958.5349465562624,31792.923913206083,88921.99829166332,2961.0,False
47,3,0,20.0,54.24114698734192,304.4456530414965,114.8858945203224,40.0,False
48,68,2,39.0,531.7744137953679,17595.166730336034,20786.688547728645,1014.0,False
49,30,0,34.0,109.37104503148187,2737.1902977749082,2748.191841734509,170.0,False
50,7,0,25.0,79.74633444564118,616.6729585255747,491.8959406667961,75.0,False
51,61,0,46.0,498.36350977037284,16367.38447047088,22098.99961578511,1104.0,False
52,11,0,16.0,63.62858725750536,658.8568813253872,341.99992405274253,48.0,False
53,11,1,14.0,44.137444956193534,457.03135315295617,236.96228203477702,28.0,False
54,2,2,21.0,58.59388032260337,302.42603600861736,85.9854938288163,42.0,False
55,4,0,25.0,75.3355540679038,459.18391505838434,282.4881243939356,75.0,False
56,3,2,21.0,67.77933251072888,380.4330161705677,200.99434193126984,63.0,False
57,23,0,13.0,92.95899954861605,1857.2570336731235,1007.9998264882357,52.0,False
